Clothing ID,Fabric Type,Fabric weight,Seam finish,Stitch length,Button quality,Grain alignment,Quality,Price
1074,Silk,14 oz,Serged,3.5 mm,Excellent,Straight,Excellent,73.99
1075,Acrylic,8 oz,Serged,2 mm,Good,Straight,Fair,19.99
1076,Polyester,6 oz,Overcast,2 mm,Fair,Off-grain,Good,14.99
1077,Cotton,11 oz,French seam,3 mm,Excellent,Straight,Excellent,39.99
1078,Linen,10 oz,Overcast,2.5 mm,Good,Off-grain,Fair,32.99
1079,Wool,16 oz,Serged,4 mm,Excellent,Straight,Excellent,88.99
1080,Silk,13 oz,Flat-felled,3.5 mm,Excellent,Straight,Very Good,56.99
1081,Acrylic,9 oz,Serged,2.5 mm,Good,Straight,Very Good,22.99
1082,Polyester,7 oz,Flat-felled,2.5 mm,Fair,Straight,Good,13.99
1083,Cotton,12 oz,Serged,2.5 mm,Good,Straight,Very Good,35.99
1084,Linen,12 oz,Flat-felled,3 mm,Excellent,Straight,Very Good,49.99
1085,Wool,15 oz,Overcast,3.5 mm,Excellent,Straight,Excellent,77.99
1086,Silk,14 oz,Serged,3.5 mm,Excellent,Straight,Excellent,73.99
1087,Acrylic,8 oz,Serged,2 mm,Good,Straight,Fair,19.99
1088,Polyester,6 oz,Overcast,2 mm,Fair,Off-grain,Good,14.99
1089,Cotton,11 oz,French seam,3 mm,Excellent,Straight,Excellent,39.99
1090,Linen,10 oz,Overcast,2.5 mm,Good,Off-grain,Fair,32.99
1091,Wool,16 oz,Serged,4 mm,Excellent,Straight,Excellent,88.99
1092,Silk,13 oz,Flat-felled,3.5 mm,Excellent,Straight,Very Good,56.99
1093,Acrylic,9 oz,Serged,2.5 mm,Good,Straight,Very Good,22.99
1094,Polyester,7 oz,Flat-felled,2.5 mm,Fair,Straight,Good,13.99
1095,Cotton,12 oz,Serged,2.5 mm,Good,Straight,Very Good,35.99
1096,Linen,12 oz,Flat-felled,3 mm,Excellent,Straight,Very Good,49.99
1097,Wool,15 oz,Overcast,3.5 mm,Excellent,Straight,Excellent,77.99
1098,Silk,14 oz,Serged,3.5 mm,Excellent,Straight,Excellent,73.99
1099,Acrylic,8 oz,Serged,2 mm,Good,Straight,Fair,19.99
1100,Polyester,6 oz,Overcast,2 mm,Fair,Off-grain,Good,14.99
